55	90	1	10	-3	Pass
55	90	2	10	-3	Pass
54	80	3	2	-3	Pass
54	60	1	10	-3	Run
53	60	2	7	-3	Run
53	60	3	5	-3	Pass
50	80	1	10	-3	Run
49	70	2	7	-3	Pass
49	70	3	7	-3	Pass
46	70	1	10	-6	Pass
45	70	2	6	-6	Run
45	60	3	1	-6	Pass
40	60	1	10	-9	Pass
40	60	2	10	-9	Pass
39	40	1	10	-9	Run
39	30	2	4	-9	Run
38	30	1	10	-9	Run
38	30	2	14	-9	Pass
38	30	3	14	-9	Pass
34	80	1	10	-12	Run
32	80	1	10	-15	Pass
32	70	2	4	-15	Pass
31	50	1	10	-15	Pass
31	40	1	10	-15	Pass
31	40	2	10	-15	Pass
30	30	3	1	-15	Run
30	30	1	10	-15	Pass
30	30	2	3	-15	Pass
30	20	1	10	-15	Pass
30	20	2	10	-15	Pass
30	10	1	10	-15	Pass
30	10	2	10	-15	Pass
30	10	3	10	-15	Sack
30	80	1	10	-15	Pass
29	70	2	4	-15	Pass
29	70	3	4	-15	Pass
28	60	1	10	-15	Run
28	60	2	6	-15	Run
27	50	1	10	-15	Pass
27	50	2	10	-15	Pass
27	40	3	4	-15	Pass
23	40	1	10	-15	Pass
23	40	2	10	-15	Pass
21	80	1	10	-15	Run
21	70	2	7	-15	Pass
20	70	1	10	-15	Pass
20	60	2	4	-15	Pass
19	50	1	10	-15	Pass
19	30	1	10	-15	Run
18	20	2	7	-15	Pass
18	20	1	10	-15	Pass
17	10	2	3	-15	Pass
17	10	3	3	-9	Run
15	60	1	10	-8	Pass
15	60	2	10	-8	Pass
15	60	3	4	-8	Pass
14	50	1	10	-8	Run
14	40	2	2	-8	Run
13	40	1	10	-8	Run
12	40	2	8	-8	Pass
12	40	3	8	-8	Pass
11	30	4	1	-8	Run
11	30	1	10	-8	Run
10	20	1	10	-8	Pass
10	20	2	10	-8	Pass
10	20	3	10	-8	Pass
8	90	1	10	-5	Pass
7	80	2	7	-5	Pass
7	80	3	4	-5	Pass
6	80	1	20	-5	Pass
6	80	2	20	-5	Pass
6	80	3	14	1	Pass
6	80	3	14	1	Run
4	80	1	10	-7	Pass
4	80	2	2	-7	Run
3	70	1	10	-7	Pass
3	70	2	10	-7	Pass
3	40	1	10	-7	Pass
2	40	2	5	-7	Pass
2	30	1	10	-7	Pass
2	20	2	2	-7	Pass
1	20	3	2	-7	Pass
1	20	1	10	-7	Pass
1	20	2	14	-7	Pass
1	10	3	4	-7	Sack
1	20	4	9	-7	Sack
